country_name,gdp_usd,mv_usd,bmi,life_exp,qol,power_rating
Tajikistan,8746270636.4,377784,25.5,71.594,44,0
Tanzania,67841049193.4,245376,0,66.201,0,0
Thailand,505947037098.4,3655584,24,78.715,54,0
Timor-Leste,3621222382.2,0,21.1,67.737,0,0
Togo,8413200567.6,11880,22.4,61.619,43,0
Tonga,469231309.5,0,30.3,70.986,0,0
Trinidad and Tobago,24460196270.7,0,26.8,72.971,52,0
Tunisia,46686741814.3,4208112,25.6,73.772,54,0.296875
Turkey,819035182929.6,45600192,0,76.032,51,0
Turkmenistan,0.0,145095.6522,26.2,69.264,0,0
Turks and Caicos Islands,943269800.0,0,0,74.587,0,0
Tuvalu,63100961.5,0,29.8,64.547,0,0
Uganda,40529789025.6,71280,21.6,62.705,44,0
Ukraine,200085537744.4,13891392,27.1,69.64780488,46,0
United Arab Emirates,415021590683.0,12981384,28.3,78.71,66,0
United Kingdom,3131377762926.0,0,0,80.7,60,0
United States,23315080560000.0,45082656,29,76.32926829,66,0.28125
Uruguay,59319484710.7,8293104,27.4,75.436,67,0.59375
Uzbekistan,69238903106.2,4015872,26,70.862,49,0
Vanuatu,956332655.7,29160,25.4,70.449,0,0
Venezuela,0.0,3056400,0,70.554,0,0
Vietnam,366137590600.7,1719792,0,73.618,52,0
Virgin Islands (U.S.),0.0,0,0,80.06829268,0,0
West Bank and Gaza,18036800000.0,0,0,73.473,0,0
"Yemen, Rep.",0.0,0,0,63.753,0,0
Zambia,22147634727.4,70416,21,61.223,46,0
Zimbabwe,28371238665.5,20520,21.9,59.253,38,0
