,players_mv,players_name,domestic_team,country_name,domestic_team_country,plays_domestically
210,7000000.0,Petar Musa,benfica-lissabon/startseite/verein/294,Croatia,Portugal,N
211,5000000.0,Bruno Petkovic,gnk-dinamo-zagreb/startseite/verein/419,Croatia,Croatia,Y
212,3500000.0,Frederik Rönnow,1-fc-union-berlin/startseite/verein/89,Denmark,Germany,N
213,2000000.0,Mads Hermansen,brondby-if/startseite/verein/206,Denmark,Denmark,Y
214,32000000.0,Joachim Andersen,crystal-palace/startseite/verein/873,Denmark,England,N
215,3500000.0,Simon Kjaer,ac-mailand/startseite/verein/5,Denmark,Italy,N
216,15000000.0,Rasmus Kristensen,leeds-united/startseite/verein/399,Denmark,England,N
217,1700000.0,Jens Stryger Larsen,trabzonspor/startseite/verein/449,Denmark,Turkey,N
218,15000000.0,Morten Hjulmand,us-lecce/startseite/verein/1005,Denmark,Italy,N
219,25000000.0,Christian Eriksen,manchester-united/startseite/verein/985,Denmark,England,N
220,14000000.0,Mathias Jensen,fc-brentford/startseite/verein/1148,Denmark,England,N
221,15000000.0,Mikkel Damsgaard,fc-brentford/startseite/verein/1148,Denmark,England,N
222,14000000.0,Andreas Skov Olsen,fc-brugge/startseite/verein/2282,Denmark,Belgium,N
223,14000000.0,Jonas Wind,vfl-wolfsburg/startseite/verein/82,Denmark,Germany,N
224,5000000.0,Martin Braithwaite,espanyol-barcelona/startseite/verein/714,Denmark,Spain,N
225,2500000.0,Kasper Schmeichel,ogc-nizza/startseite/verein/417,Denmark,France,N
226,40000000.0,Andreas Christensen,fc-barcelona/startseite/verein/131,Denmark,Spain,N
227,18000000.0,Victor Nelsson,galatasaray-istanbul/startseite/verein/141,Denmark,Turkey,N
228,1500000.0,Zanka,fc-brentford/startseite/verein/1148,Denmark,England,N
229,14000000.0,Alexander Bah,benfica-lissabon/startseite/verein/294,Denmark,Portugal,N
230,1000000.0,Elias Jelert,fc-kopenhagen/startseite/verein/190,Denmark,Denmark,Y
231,45000000.0,Pierre-Emile Höjbjerg,tottenham-hotspur/startseite/verein/148,Denmark,England,N
232,18000000.0,Philip Billing,afc-bournemouth/startseite/verein/989,Denmark,England,N
233,28000000.0,Jesper Lindström,eintracht-frankfurt/startseite/verein/24,Denmark,Germany,N
234,6000000.0,Mohamed Daramy,fc-kopenhagen/startseite/verein/190,Denmark,Denmark,Y
235,45000000.0,Rasmus Højlund,atalanta-bergamo/startseite/verein/800,Denmark,Italy,N
236,10000000.0,Yussuf Poulsen,rasenballsport-leipzig/startseite/verein/23826,Denmark,Germany,N
237,1000000.0,Moisés Ramírez,independiente-del-valle/startseite/verein/19309,Ecuador,Ecuador,Y
238,600000.0,Alexander Domínguez,ldu-quito/startseite/verein/9855,Ecuador,Ecuador,Y
239,11000000.0,Willian Pacho,royal-antwerpen-fc/startseite/verein/1096,Ecuador,Belgium,N
240,2000000.0,Xavier Arreaga,seattle-sounders-fc/startseite/verein/9636,Ecuador,United States,N
241,1000000.0,Leonardo Realpe,red-bull-bragantino/startseite/verein/8793,Ecuador,Brazil,N
242,3300000.0,Angelo Preciado,krc-genk/startseite/verein/1184,Ecuador,Belgium,N
243,55000000.0,Moisés Caicedo,brighton-amp-hove-albion/startseite/verein/1237,Ecuador,England,N
244,2500000.0,Jordy Alcívar,independiente-del-valle/startseite/verein/19309,Ecuador,Ecuador,Y
245,12000000.0,José Cifuentes,los-angeles-fc/startseite/verein/51828,Ecuador,United States,N
246,3000000.0,Pedro Vite,vancouver-whitecaps-fc/startseite/verein/6321,Ecuador,Canada,N
247,1200000.0,Anderson Julio,real-salt-lake-city/startseite/verein/6643,Ecuador,United States,N
248,3800000.0,Enner Valencia,fenerbahce-istanbul/startseite/verein/36,Ecuador,Turkey,N
249,600000.0,Hernán Galíndez,sd-aucas/startseite/verein/6362,Ecuador,Ecuador,Y
250,25000000.0,Piero Hincapié,bayer-04-leverkusen/startseite/verein/15,Ecuador,Germany,N
251,6000000.0,Félix Torres,santos-laguna/startseite/verein/1403,Ecuador,Mexico,N
252,1800000.0,Robert Arboleda,fc-sao-paulo/startseite/verein/585,Ecuador,Brazil,N
253,20000000.0,Pervis Estupiñán,brighton-amp-hove-albion/startseite/verein/1237,Ecuador,England,N
254,1500000.0,José Hurtado,red-bull-bragantino/startseite/verein/8793,Ecuador,Brazil,N
255,3000000.0,Carlos Gruezo,san-jose-earthquakes/startseite/verein/218,Ecuador,United States,N
256,800000.0,Joao Ortiz,independiente-del-valle/startseite/verein/19309,Ecuador,Ecuador,Y
257,3000000.0,Alan Franco,club-atletico-talleres/startseite/verein/3938,Ecuador,Argentina,N
258,5000000.0,Gonzalo Plata,real-valladolid/startseite/verein/366,Ecuador,Spain,N
259,1200000.0,Ángel Mena,club-leon-fc/startseite/verein/4941,Ecuador,Mexico,N
260,3000000.0,Leonardo Campana,inter-miami-cf/startseite/verein/69261,Ecuador,United States,N
261,2500000.0,Mohamed El Shenawy,el-ahly-kairo/startseite/verein/7,Egypt,Egypt,Y
262,600000.0,Mohamed Sobhi,zamalek-sc/startseite/verein/664,Egypt,Egypt,Y
263,800000.0,Ali Gabr,pyramids-fc/startseite/verein/44664,Egypt,Egypt,Y
264,500000.0,Yasser Ibrahim,el-ahly-kairo/startseite/verein/7,Egypt,Egypt,Y
