country_name,team,elo
Bolivia,San José,1215
Bolivia,Universitario de Cobija,1214
Bolivia,Destroyers,1213
Bolivia,Real Potosí,1206
Bolivia,Real Mamoré,1203
Bolivia,La Paz,1178
Bosnia and Herzegovina,Zrinjski Mostar,1520
Bosnia and Herzegovina,FK Sarajevo,1428
Bosnia and Herzegovina,Željezničar,1395
Bosnia and Herzegovina,Borac Banja Luka,1390
Bosnia and Herzegovina,Široki Brijeg,1373
Bosnia and Herzegovina,FK Tuzla City,1327
Bosnia and Herzegovina,Velež Mostar,1323
Bosnia and Herzegovina,Radnik Bijeljina,1266
Bosnia and Herzegovina,NK Igman Konjic,1262
Bosnia and Herzegovina,Sloboda Tuzla,1261
Bosnia and Herzegovina,FK Krupa,1260
Bosnia and Herzegovina,Čelik Zenica,1257
Bosnia and Herzegovina,FK Zvijezda 09,1257
Bosnia and Herzegovina,HŠK Posušje,1254
Bosnia and Herzegovina,FK Sloga Doboj,1249
Bosnia and Herzegovina,Metalleghe BSI,1248
Bosnia and Herzegovina,FK Mladost Doboj Kakanj,1242
Bosnia and Herzegovina,Olimpik Sarajevo,1233
Bosnia and Herzegovina,Slavija Sarajevo,1228
Bosnia and Herzegovina,Mladost Velika,1224
Bosnia and Herzegovina,GOŠK Gabela,1223
Bosnia and Herzegovina,NK Zvijezda Gradacac,1218
Bosnia and Herzegovina,Travnik,1214
Bosnia and Herzegovina,Kozara Gradiška,1214
Bosnia and Herzegovina,Rudar Prijedor,1212
Bosnia and Herzegovina,FK Drina Zvornik,1200
Bosnia and Herzegovina,FK Leotar,1196
Bosnia and Herzegovina,Gradina Srebrenik,1196
Bosnia and Herzegovina,Vitez,1193
Botswana,Gaborone United,1255
Botswana,Township Rollers,1249
Botswana,Jwaneng Galaxy FC,1238
Brazil,Palmeiras,1823
Brazil,Fluminense FC,1724
Brazil,Atlético Mineiro,1712
Brazil,Flamengo,1710
Brazil,Internacional,1677
Brazil,São Paulo,1668
Brazil,Atlético PR,1654
Brazil,Botafogo FR,1644
Brazil,Grêmio,1641
Brazil,Corinthians,1585
Brazil,Red Bull Bragantino SP,1569
Brazil,Santos FC,1559
Brazil,Portuguesa,1554
Brazil,Atlético Goianiense,1552
Brazil,Cruzeiro,1542
Brazil,América Mineiro,1538
Brazil,Cuiaba,1531
Brazil,Ceará SC,1530
Brazil,Bahia,1522
Brazil,Goiás,1514
Brazil,Sport Recife,1507
Brazil,Vasco da Gama,1487
Brazil,Brasilia,1459
Brazil,Ponte Preta,1451
Brazil,Coritiba,1444
Brazil,Vitória,1442
Brazil,Santo André,1437
Brazil,Figueirense,1434
Brazil,Guarani FC,1422
Brazil,Avaí FC,1414
Brazil,Santa Cruz,1412
Brazil,Criciúma,1405
Brazil,Joinville EC,1404
Brazil,EC Juventude,1399
Brazil,CS Alagoano AL,1394
Brazil,Grêmio Prudente,1393
Brazil,Paraná Clube,1376
Brazil,Chapecoense AF,1338
Brazil,Náutico,1314
Bulgaria,PFC Ludogorets 1945 Razgrad,1668
Bulgaria,PFC CSKA Sofia,1610
Bulgaria,Litex Lovech,1573
Bulgaria,Levski Sofia,1539
Bulgaria,Cherno More Varna,1474
Bulgaria,FC CSKA 1948 Sofia,1458
Bulgaria,Lokomotiv Plovdiv,1450
Bulgaria,Slavia Sofia,1415
Bulgaria,FC Arda Kardzhali,1409
Bulgaria,Botev Plovdiv,1390
Bulgaria,Chernomorets Burgas,1386
Bulgaria,PFC Lokomotiv Sofia 1929,1367
Bulgaria,Beroe,1364
Bulgaria,Etar,1312
Bulgaria,FC Tsarsko Selo Sofia 2015,1308
Bulgaria,Minyor Pernik,1302
Bulgaria,Pirin Blagoevgrad,1289
Bulgaria,Lokomotiv Mezdra,1285
Bulgaria,Botev Vratsa,1281
Bulgaria,FC Hebar 1918,1281
Bulgaria,FK Septemvri Sofia,1278
Bulgaria,FK Spartak 1918 Varna,1270
Bulgaria,Lokomotiv Gorna Oryahovitsa,1270
Bulgaria,Dunav Ruse,1269
Bulgaria,Neftochimic Burgas 1962,1257
Bulgaria,Marek Dupnitsa,1251
Bulgaria,Sliven,1248
Bulgaria,Akademik Sofia,1246
Bulgaria,Sportist Svoge,1243
Bulgaria,Haskovo 2009,1242
Bulgaria,Pirin Gotse Delchev,1227
Bulgaria,Montana,1223
Bulgaria,Vidima-Rakovski,1221
Bulgaria,Kaliakra,1215
Bulgaria,Svetkavitsa,1208
Bulgaria,Lyubimets,1203
Bulgaria,Vitosha Bistritsa,1179
Bulgaria,Vereya,1169
Burundi,LLB Académic,1250
Cameroon,Coton Sport,1465
Cameroon,UMS de Loum,1404
Cameroon,Canon Sportif,1402
Cameroon,Bamboutos,1401
Cameroon,Union Sportive de Douala,1384
Cameroon,Apejes de Mfou,1371
Cameroon,Fovu de Baham,1370
Cameroon,Eding Sport FC,1370
Cameroon,Colombe du Dja et Lobo,1370
Cameroon,Unisport FC Du Haut-Nkam,1367
Cameroon,Astres FC de Douala,1363
Cameroon,Stade Renard de Melong,1362
Cameroon,Feutcheu FC,1352
Cameroon,AS Fortuna,1349
Cameroon,Pwd Bamenda,1347
Cameroon,Tiko United,1346
Cameroon,Young Sport Academy Bamenda,1343
Cameroon,Botafogo FC,1327
Cameroon,Gazelle FC de Garoua,1326
Cameroon,Union Douala,1319
Cameroon,Université Ngaoundéré,1318
Cameroon,Fauve Azur Elite FC,1307
Cameroon,Aigle Royal,1301
Cameroon,Panthère,1299
Cameroon,Avion Fc Du Nkam,1298
Cameroon,Sable Batié,1295
Cameroon,Caïman Douala,1293
Cameroon,Renaissance de Ngoumou,1287
Cameroon,Lausanne,1283
Cameroon,Lion Blessé,1280
Cameroon,New Star de Douala,1280
Cameroon,AS Matelots,1272
Cameroon,Njala Quan,1272
Cameroon,OFTA FC,1266
Cameroon,RC Bafoussam,1261
Cameroon,Scorpion FC de Bé,1253
Cameroon,Cosmos de Bafia,1252
Cameroon,Roumde Adjia,1236
Cameroon,Yafoot FC Yaounde 2,1224
Cameroon,Dragon de Yaoundé,1220
Cameroon,Tonnerre Kalara Club,1212
Canada,CF Montreal,1379
Canada,Vancouver Whitecaps,1331
Canada,Toronto FC,1295
Canada,Forge FC,1243
Canada,FC Edmonton,1233
Chile,Colo Colo,1509
Chile,Universidad Católica,1501
Chile,Audax Italiano La Florida,1453
Chile,Cobresal,1447
Chile,Everton CD,1439
Chile,Ñublense,1426
Chile,O'Higgins,1422
Chile,Unión La Calera,1422
Chile,Huachipato,1416
Chile,Palestino,1414
Chile,Unión Española,1401
Chile,Coquimbo Unido,1398
Chile,Curicó Unido,1394
Chile,Universidad de Chile,1385
Chile,Universidad Concepción,1380
Chile,CD Antofagasta,1377
Chile,Deportes Temuco,1369
Chile,Cobreloa,1361
Chile,Melipilla,1355
Chile,Deportes Iquique,1345
Chile,Rangers,1342
Chile,Santiago Morning,1340
Chile,Unión San Felipe,1336
Chile,San Marcos,1336
Chile,Deportes Copiapó,1328
Chile,Deportes La Serena,1307
Chile,CD Magallanes,1305
Chile,San Luis,1304
Chile,Santiago Wanderers,1287
Chile,Barnechea,1267
China PR,Shanghai Port F.C.,1546
China PR,Shandong Taishan F.C.,1497
China PR,Jiangsu Suning FC,1481
China PR,Wuhan Three Towns F.C.,1436
China PR,Beijing Guoan,1422
China PR,Chengdu Rongcheng F.C.,1410
China PR,Shanghai Shenhua,1406
China PR,Zhejiang Professional,1385
China PR,Changchun Yatai,1363
China PR,Henan Songshan Longmen F.C.,1359
China PR,Tianjin Tianhai,1326
China PR,Nantong Zhiyun FC,1325
China PR,Tianjin Jinmen Tiger F.C.,1323
China PR,Meizhou Hakka F.C.,1310
China PR,Chongqing Liangjiang Athletic F.C.,1293
China PR,Shijiazhuang Ever Bright,1291
China PR,Qingdao Jonoon,1290
China PR,Dalian Shide,1287
China PR,Guangzhou F.C.,1287
China PR,Dalian Professional FC,1285
China PR,Guizhou Hengfeng,1278
China PR,Chengdu Blades,1272
China PR,Harbin Yiteng,1262
China PR,Yanbian,1255
China PR,Beijing Renhe,1237
China PR,Guangzhou City F.C.,1232
China PR,Liaoning Hongyun,1230
China PR,Wuhan Yangtze River,1226
China PR,Shenzhen FC,1223
China PR,Shanghai Shenxin,1218
China PR,Qingdao Hainiu,1218
China PR,Hebei F.C.,1151
Colombia,Fortaleza,1675
Colombia,Millonarios,1600
Colombia,Atlético Nacional,1595
Colombia,Independiente Medellín,1494
Colombia,Tolima,1487
Colombia,Águilas Doradas,1478
Colombia,CS Deportivo Pereira,1464
Colombia,La Equidad,1461
Colombia,Santa Fe,1454
Colombia,América de Cali,1453
Colombia,Junior FC,1453
Colombia,Deportivo Pasto,1422
Colombia,Deportivo Cali,1415
Colombia,Alianza Petrolera,1410
Colombia,Once Caldas,1408
Colombia,Club Atlético Bucaramanga,1401
Colombia,Envigado,1386
Colombia,Boyacá Chicó FC,1385
Colombia,CD Jaguares,1350
Colombia,Tigres FC,1338
Colombia,Patriotas Boyacá,1331
Colombia,Uniautónoma FC,1327
Colombia,Cúcuta Deportivo,1317
Colombia,AD Unión Magdalena,1316
Colombia,Real Cartagena,1294
Colombia,Deportes Quindío,1290
Colombia,Leones FC,1290
Colombia,Atlético Huila,1277
Colombia,Cortuluá,1276
Congo,Léopards de Dolisié,1328
Congo,Diables Noirs,1250
Congo DR,TP Mazembe,1585
Congo DR,Vita Club,1506
Congo DR,Saint-Eloi Lupopo,1436
Congo DR,Motema Pembe,1426
Congo DR,AS Nika,1385
Congo DR,Sanga Balende,1356
Congo DR,Ajax,1352
Congo DR,New Soger,1342
Congo DR,Maniema Union,1321
Congo DR,Don Bosco SC,1316
Congo DR,Capaco,1292
Congo DR,Virunga,1287
Congo DR,Dragons,1286
Congo DR,Elima,1282
Congo DR,Shark XI,1263
Congo DR,Veti Club,1262
Congo DR,Blessing FC,1261
Congo DR,Likasi,1254
Congo DR,Canon Buromeca,1253
Congo DR,Ibanda Sport,1251
Congo DR,Kabasha,1251
Congo DR,Olympic Club,1250
Congo DR,Etoile du Kivu,1250
Congo DR,AC Kuya Sport,1249
Congo DR,US Panda B5,1248
Congo DR,FC Lubumbashi sport,1248
Congo DR,Molunge,1247
Congo DR,FC MK,1244
Congo DR,Saint-Clément,1243
Congo DR,Muungano,1242
Congo DR,Ndoki ya Ndombe,1241
Congo DR,Bukavu Dawa,1237
Congo DR,Malekesa,1234
Congo DR,Saint-Luc,1234
Congo DR,Babeti ya Sika,1234
Congo DR,Ndjadi,1232
Congo DR,Matiti Mabe,1231
Congo DR,CS Makiso,1231
Congo DR,Nkoy,1231
Congo DR,Dauphins Noirs,1230
Congo DR,Jeunesse Sportive de Kinshasa,1230
Congo DR,Rojolu,1227
Congo DR,Bantous,1227
Congo DR,Vutuka,1223
Congo DR,Tshinkunku,1219
Congo DR,RC Kinshasa,1215
Cook Islands,Nikao Sokattak,1235
Cook Islands,Puaikura,1232
Cook Islands,Tupapa Maraerenga,1190
Costa Rica,Deportivo Saprissa,1534
Costa Rica,LD Alajuelense,1508
